Datum,Depth_[m],Temp_[C]
24.02.99,40,3.0
11.05.99,0,16.1
11.05.99,5,13.9
11.05.99,10,8.0
11.05.99,20,6.1
11.05.99,30,5.4
11.05.99,40,5.1
20.07.99,0,23.5
20.07.99,5,20.2
20.07.99,10,15.4
20.07.99,20,8.8
20.07.99,30,8.5
20.07.99,40,11.1
05.10.99,0,16.0
05.10.99,5,16.0
05.10.99,10,15.7
05.10.99,20,6.9
05.10.99,30,5.9
05.10.99,40,5.4
21.02.00,0,3.8
21.02.00,5,3.8
21.02.00,10,3.8
21.02.00,20,3.8
21.02.00,30,3.8
21.02.00,40,3.8
17.05.00,0,21.5
17.05.00,5,16.6
17.05.00,10,10.5
17.05.00,20,10.6
17.05.00,30,8.8
17.05.00,40,11.4
25.07.00,0,20.9
25.07.00,5,19.2
25.07.00,10,16.0
25.07.00,20,8.8
25.07.00,30,8.4
25.07.00,40,8.7
09.10.00,0,15.8
09.10.00,5,15.8
09.10.00,10,15.5
09.10.00,20,8.2
09.10.00,30,7.7
09.10.00,40,9.1
20.02.01,0,4.8
20.02.01,5,4.8
20.02.01,10,4.8
20.02.01,20,4.8
20.02.01,30,4.8
20.02.01,40,4.7
29.05.01,0,22.2
29.05.01,5,15.8
29.05.01,10,11.4
29.05.01,20,8.6
29.05.01,30,8.1
29.05.01,40,8.4
21.08.01,0,23.0
21.08.01,5,22.7
21.08.01,10,15.1
21.08.01,20,9.1
21.08.01,30,8.3
21.08.01,40,8.1
16.10.01,0,16.6
16.10.01,5,16.3
16.10.01,10,14.8
16.10.01,20,9.5
16.10.01,30,8.0
16.10.01,40,9.1
27.02.02,0,4.2
27.02.02,5,4.1
27.02.02,10,4.1
27.02.02,20,4.1
27.02.02,30,4.1
27.02.02,40,4.1
13.05.02,0,14.8
13.05.02,5,11.6
13.05.02,10,9.0
13.05.02,20,7.5
13.05.02,30,6.6
13.05.02,40,6.3
22.07.02,0,21.8
22.07.02,5,21.2
22.07.02,10,12.8
22.07.02,20,7.4
22.07.02,30,6.8
22.07.02,40,6.5
17.10.02,0,14.0
17.10.02,5,14.0
17.10.02,10,14.0
17.10.02,20,7.7
17.10.02,30,7.0
17.10.02,40,6.6
18.02.03,0,3.1
18.02.03,5,3.1
18.02.03,10,3.1
18.02.03,20,3.1
18.02.03,30,3.1
18.02.03,40,3.2
12.06.03,0,26.7
12.06.03,5,16.6
12.06.03,10,9.9
12.06.03,20,6.2
12.06.03,30,5.8
12.06.03,40,5.5
01.07.03,0,24.4
01.07.03,5,24.4
01.07.03,10,12.1
01.07.03,20,6.4
01.07.03,30,5.9
01.07.03,40,5.6
15.10.03,0,13.2
15.10.03,5,13.2
15.10.03,10,13.1
15.10.03,20,7.1
15.10.03,30,6.0
15.10.03,40,5.8
18.02.04,0,4.2
18.02.04,5,4.2
18.02.04,10,4.2
18.02.04,20,4.2
18.02.04,30,4.2
18.02.04,40,4.1
13.05.04,0,12.7
13.05.04,5,10.2
13.05.04,10,9.6
13.05.04,20,6.8
13.05.04,30,6.4
13.05.04,40,6.0
11.08.04,0,25.5
11.08.04,5,24.4
11.08.04,10,17.1
11.08.04,20,7.9
11.08.04,30,6.9
11.08.04,40,6.4
13.10.04,0,16.9
13.10.04,5,16.4
13.10.04,10,16.3
13.10.04,20,7.8
13.10.04,30,7.0
13.10.04,40,6.5
17.02.05,0,3.2
17.02.05,5,3.2
17.02.05,10,3.2
17.02.05,20,3.2
17.02.05,30,3.3
17.02.05,40,3.3
18.05.05,0,12.4
18.05.05,5,12.3
18.05.05,10,8.3
18.05.05,20,6.4
18.05.05,30,5.7
18.05.05,40,5.4
10.08.05,0,22.9
10.08.05,5,21.9
10.08.05,10,13.7
10.08.05,20,7.0
10.08.05,30,6.0
10.08.05,40,5.6
12.10.05,0,16.2
12.10.05,5,15.6
12.10.05,10,15.4
12.10.05,20,7.4
12.10.05,30,6.2
12.10.05,40,5.7
22.02.06,0,2.8
22.02.06,5,2.8
22.02.06,10,2.8
22.02.06,20,2.8
22.02.06,30,2.8
22.02.06,40,2.8
11.05.06,0,12.0
11.05.06,5,11.7
11.05.06,10,7.4
11.05.06,20,5.4
11.05.06,30,5.2
11.05.06,40,5.0
16.08.06,0,20.7
16.08.06,5,18.1
16.08.06,10,12.3
16.08.06,20,6.4
16.08.06,30,5.6
16.08.06,40,5.2
12.10.06,0,16.6
12.10.06,5,16.6
12.10.06,10,16.2
12.10.06,20,6.8
12.10.06,30,5.6
12.10.06,40,5.2
15.02.07,0,5.2
